** File generated by WinEP - 5/10/2016 (5:23p) **

Station 	StrAV_SW
620.192505	0.344728
621.026611	0.336738
621.860718	0.351398
622.694824	0.331378
623.528870	0.357080
624.362976	0.338054
625.197021	0.269704
626.031128	0.345713
626.865173	0.336441
627.699280	0.351759
628.533325	0.331827
629.367371	0.357570
630.201477	0.338067
631.035522	0.309396
631.869568	0.345980
632.703674	0.336389
633.537720	0.351638
634.371765	0.330923
635.205872	0.358093
636.039917	0.338243
636.874023	0.269567
637.708130	0.345767
638.542175	0.336616
639.376282	0.352137
640.210388	0.332053
641.044495	0.359135
641.878601	0.338704
642.712708	0.310336
643.546814	0.346364
644.380920	0.337760
645.215027	0.352232
646.049133	0.332231
646.883240	0.359631
647.717346	0.341511
648.551392	0.270248
649.385498	0.347324
650.219604	0.338484
651.053711	0.352956
651.887756	0.332773
652.721863	0.359623
653.555969	0.340098
654.390076	0.311339
655.224182	0.347592
656.058228	0.339288
656.892334	0.353810
657.726440	0.332882
658.560547	0.360456
659.394714	0.341808
660.228821	0.270898
661.062988	0.348339
661.897095	0.339257
662.731262	0.354676
663.565369	0.333968
664.399475	0.361357
665.233643	0.341780
666.067749	0.312795
666.901855	0.349435
667.735962	0.340186
668.570129	0.356001
669.404236	0.334247
670.238342	0.361916
671.072449	0.343326
671.906555	0.271591
672.740662	0.349364
673.574829	0.340267
674.408936	0.356333
675.243042	0.334610
676.077148	0.362412
676.911316	0.342586
677.745422	0.313640
678.579590	0.350474
679.413696	0.340870
680.247864	0.357195
681.082031	0.334819
681.916199	0.363041
682.750366	0.343589
683.584534	0.272493
684.418701	0.350578
685.252808	0.347908
686.086975	0.359316
686.921143	0.335949
687.755249	0.346298
688.589417	0.341787
689.423523	0.356203
690.257690	0.353346
691.091797	0.351117
691.925964	0.346325
692.760071	0.333187
693.594238	0.350764
694.428345	0.346263
695.262512	0.318008
696.096680	0.355831
696.930847	0.338883
697.764954	0.344755
698.599121	0.338141
699.433289	0.355297
700.267517	0.350284
701.101685	0.363247
701.935852	0.343881
702.770081	0.337235
703.604248	0.349382
704.438416	0.342687
705.272583	0.359109
706.106750	0.354038
706.940918	0.308973
707.775085	0.342646
708.609253	0.344071
709.443420	0.356198
710.277588	0.348110
