炉石传说：【天天素材库】 第28期
up主: 天天卡牌
时间	发送日期		弹幕内容
00:13	11-07 20:26:07	BGM:That Man, Caro Emerald	
00:00	11-07 20:27:20	卧槽终于更新了	
03:30	11-07 20:27:51	非洲人的自信笑死~	
07:20	11-07 20:31:46	瓦娘变成素材帝了	
01:11	11-07 20:32:11	求大（sha）神(bi)们告诉我怎么枪毙第二个暴风城	
06:06	11-07 20:32:19	对不起，我是警察	
00:00	11-07 20:33:31	提前晕针	
02:32	11-07 20:33:59	欠我173滴血	
00:12	11-07 20:34:13	BGM!!!	
00:13	11-07 20:34:30	失踪人口回归	
01:09	11-07 20:34:31	jojo的ED嘛这不是	
00:11	11-07 20:35:05	终于更了	
01:50	11-07 20:35:36	这个镜头我录了一个小时啊，心疼我家老爷机，打算换电脑了	
01:09	11-07 20:35:45	老毕！	
08:23	11-07 20:36:51	傻龙都没做的路过。	
02:26	11-07 20:37:05	祖尔法拉克敲铜锣！	
00:01	11-07 20:37:06	你终于更新了	
00:24	11-07 20:37:13	欢迎回来	
01:55	11-07 20:38:00	夫妻档	
07:34	11-07 20:38:32	11都不给你留	
07:24	11-07 20:39:55	瓦莉拉：你屎淋到头了！！	
08:10	11-07 20:40:12	注意下方id  小苍的？	
02:28	11-07 20:40:12	!!	
01:09	11-07 20:40:32	怀念当年的斩杀曲	
02:59	11-07 20:41:17	在现场	
07:38	11-07 20:41:41	笑出声23333	
00:06	11-07 20:41:48	前	
00:04	11-07 20:42:32	失踪人口回归	
00:08	11-07 20:42:39	失踪人口回归	
05:41	11-07 20:43:26	233	
00:43	11-07 20:43:35	墨泽哎  经常看他的JJC	
03:22	11-07 20:44:54	欧血纯正	
03:26	11-07 20:45:22	人造大表哥23333	
00:05	11-07 20:45:33	意外惊喜	
07:39	11-07 20:46:06	去洗脸了	
07:12	11-07 20:47:04	同福傻龙	
06:13	11-07 20:47:57	谁敢召唤我！	
00:05	11-07 20:48:36	第( ￣ ▽￣)o╭╯☆#╰( ￣﹏￣)╯	
00:07	11-07 20:49:46	有生之年	
07:59	11-07 20:50:15	滑稽：真厉害	
00:08	11-07 20:55:22	失踪人口回归	
02:13	11-07 20:57:21	3血伏笔	
05:20	11-07 20:58:57	小A，小A	
08:33	11-07 20:59:18	当初合的金的，明智如我，早合早享受啊各位	
07:37	11-07 20:59:56	前方高能！！！！奥数愚蠢上线	
02:54	11-07 21:01:41	我这条命都是四驱车送的	
